comparison,area_sqkm,area_ha
2016_vs_2024,47.20863027688084,4720.863027688084
2017_vs_2024,21.00183070167093,2100.183070167093
2018_vs_2024,85.56670482286472,8556.670482286472
2019_vs_2024,12.313756079185573,1231.3756079185573
2020_vs_2024,69.02410868169137,6902.410868169138
2021_vs_2024,177.5507585779216,17755.07585779216
2022_vs_2024,106.16187487734878,10616.187487734878
2023_vs_2024,48.48129688538292,4848.129688538292
